species_id,scientific_name,common_name,status,kingdom,detail_url,image_url
36419,Paranephelium spirei,,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=36419,https://cms.mybis.gov.my/img/plant.png
38634,Paranephelium xestophyllum,Ambuakat,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=38634,https://cms.mybis.gov.my/img/plant.png
6505,Parashorea densiflora,Meranti Pasir,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=6505,https://cms.mybis.gov.my/img/plant.png
14594,Parashorea globosa,Meranti Pasir Daun Besar,Critically Endangered,Plantae,https://www.mybis.gov.my/one/profile.php?sid=14594,https://cms.mybis.gov.my/thumbnail/s300_2353.jpeg
36423,Parashorea stellata,Gerutu-gerutu,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=36423,https://cms.mybis.gov.my/img/plant.png
44744,Parastemon urophyllus,Nyalas,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=44744,https://cms.mybis.gov.my/img/plant.png
1875,Parinari costata,Merbatu Pipit,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=1875,https://cms.mybis.gov.my/img/plant.png
41582,Paropsia vareciformis,Dendulang,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=41582,https://cms.mybis.gov.my/thumbnail/s300_12799.jpeg
9427,Parsonsia alboflavescens,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=9427,https://cms.mybis.gov.my/img/plant.png
5895,Parsonsia curvisepala,,Data Deficient,Plantae,https://www.mybis.gov.my/one/profile.php?sid=5895,https://cms.mybis.gov.my/img/plant.png
4315,Phlegmariurus carinatus,Shoelace Tassel-fern,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=4315,https://cms.mybis.gov.my/thumbnail/s300_2025.jpeg
66355,Phlegmariurus dalhousieanus,Pokok Sakat,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=66355,https://cms.mybis.gov.my/img/plant.png
66360,Phlegmariurus nummulariifolius,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=66360,https://cms.mybis.gov.my/img/plant.png
41941,Phlegmariurus phlegmaria,Sri Gading,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=41941,https://cms.mybis.gov.my/thumbnail/s300_9011.jpeg
36585,Phlegmariurus squarrosus,Rock Tassel-fern,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=36585,https://cms.mybis.gov.my/img/plant.png
36741,Pinanga subruminata,,Not Evaluated,Plantae,https://www.mybis.gov.my/one/profile.php?sid=36741,https://cms.mybis.gov.my/img/plant.png
55242,Plagiogyria egenolfioides,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=55242,https://cms.mybis.gov.my/img/plant.png
42389,Pometia pinnata,Kasai,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=42389,https://cms.mybis.gov.my/thumbnail/s300_8504.jpeg
43207,Pometia ridleyi,Kasai Daun Lichin,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=43207,https://cms.mybis.gov.my/img/plant.png
47377,Pottsia laxiflora,,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=47377,https://cms.mybis.gov.my/img/plant.png
8831,Prosaptia alata,,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=8831,https://cms.mybis.gov.my/thumbnail/s300_114.jpeg
275,Prosaptia barathrophylla,,Near Threat,Plantae,https://www.mybis.gov.my/one/profile.php?sid=275,https://cms.mybis.gov.my/img/plant.png
7321,Prosaptia contigua,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=7321,https://cms.mybis.gov.my/thumbnail/s300_1769.jpeg
29465,Prosaptia obliquata,,Low Concern,Plantae,https://www.mybis.gov.my/one/profile.php?sid=29465,https://cms.mybis.gov.my/thumbnail/s300_1771.jpeg
